Year,Country,Pais_Lat_Long,Sex,Fatal (Y/N),href formula
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.23.a-Geitel.pdf
1959,HIGH SEAS,"29.870151,-93.922369",NO INF,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.03-Rio-Atranto.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.02-Scherer.pdf
1959,HIGH SEAS,"29.870151,-93.922369",NO INF,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.00.b-boat-R-Wade.pdf
1959,MEXICO,"23.6585116,-102.0077097",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.07.00.a-Lobster-fishermen.pdf
1959,TURKEY,"38.9597594,34.9249653",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.26.R-Steinberg.pdf
1959,MEXICO,"23.6585116,-102.0077097",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.14.b-Topete.pdf
1959,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.14.a-Pamperin_Collier.pdf
1959,USA,"39.7837304,-100.445882",NO INF,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.06.13-McNeill.pdf
1959,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.30-TonyDicks.pdf
1959,USA,"39.7837304,-100.445882",F,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.16-Goldback.pdf
1959,USA,"39.7837304,-100.445882",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.07-Kogler_Collier.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.03-Grover.pdf
1959,HIGH SEAS,"29.870151,-93.922369",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.05.00-Green.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,NO INF,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.27-Holland.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.11-Pearson.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.09.b-Fisherman.pdf
1959,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.09.a-Fisherman.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.04.05-McAuley.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.03.29-McKee.pdf
1959,PHILIPPINES,"12.7503486,122.7312101",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.03.08-Sanchez.pdf
1959,USA,"39.7837304,-100.445882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.03.00-Straughan.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.28-boat-Crew-Thatcher.pdf
1959,VENEZUELA,"8.0018709,-66.1109318",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.27-Gerbeau.pdf
1959,PAPUA NEW GUINEA,"-5.6816069,144.2489081",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.06-Ururumba.pdf
1959,SOLOMON ISLANDS,"-8.7053941,159.1070693851845",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.02-Battye.pdf
1959,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.02.01-Vermaak.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.31-Rudd.pdf
1959,ECUADOR,"-1.3397668,-79.3666965",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.27-Swienty.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.25-Grave.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.17.b-Derry.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.17.a-Neil.pdf
1959,SOUTH AFRICA,"-28.8166236,24.991639",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.15-Schreuder.pdf
1959,NEW GUINEA,"-5.522593049999999,142.08709052245882",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.12-Uga.pdf
1959,MOZAMBIQUE,"-19.302233,34.9144977",M,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.02-Suttie.pdf
1959,AUSTRALIA,"-24.7761086,134.755",M,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.01.00-BadgerHead.pdf
